Model,Team,Condition,Harm,Metric,trials,mean,sd,se,ci,Format,Cases,Grading,Type,Model1,Model2,Model3,Provider,Label,Exclude
DeepSeek R1 + Gemini 2.5 Flash + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,4,0.558,0.034,0.017,0.033,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Flash,GPT-5,DeepSeek + Google + OpenAI,NA,NA
DeepSeek R1 + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,6,0.587,0.02,0.008,0.016,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Flash,Gemini 2.5 Pro,DeepSeek + Google + Google,NA,NA
DeepSeek R1 + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,5,0.544,0.016,0.007,0.014,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Pro,GPT-5,DeepSeek + Google + OpenAI,NA,NA
GPT-5 + GPT-5 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,6,0.451,0.029,0.012,0.023,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-5,GPT-5,OpenAI + OpenAI + OpenAI,NA,NA
Gemini 2.0 Flash + Claude 3.7 Sonnet + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,4,0.573,0.01,0.005,0.01,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Claude 3.7 Sonnet,Gemini 2.5 Pro,Google + Anthropic + Google,NA,NA
Gemini 2.0 Flash + Claude 3.7 Sonnet + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,10,0.64,0.025,0.008,0.015,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Claude 3.7 Sonnet,LiSA 1.0,Google + Anthropic + AMBOSS,NA,NA
Gemini 2.0 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,10,0.541,0.032,0.01,0.02,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Gemini 2.5 Pro,GPT-5,Google + Google + OpenAI,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Flash,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,5,0.598,0.041,0.018,0.036,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Flash,Gemini 2.5 Flash,Google + Google + Google,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,6,0.543,0.032,0.013,0.026,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Flash,Gemini 2.5 Pro,Google + Google + Google,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,5,0.539,0.028,0.012,0.024,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Pro,DeepSeek R1,Google + Google + DeepSeek,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,5,0.568,0.025,0.011,0.022,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Pro,GPT-5,Google + Google + OpenAI,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,6,0.535,0.025,0.01,0.02,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Pro,Gemini 2.5 Pro,Google + Google + Google,NA,NA
Gemini 2.5 Flash + Llama 4 Maverick + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,3,0.573,0.021,0.012,0.024,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Llama 4 Maverick,DeepSeek R1,Google + Meta + DeepSeek,NA,NA
Gemini 2.5 Flash + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,5,0.59,0.025,0.011,0.022,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Llama 4 Maverick,GPT-5,Google + Meta + OpenAI,NA,NA
Gemini 2.5 Flash + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,6,0.565,0.025,0.01,0.02,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Llama 4 Maverick,Gemini 2.5 Pro,Google + Meta + Google,NA,NA
Gemini 2.5 Pro + GPT-5 mini + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,10,0.566,0.046,0.015,0.029,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,GPT-5 mini,GPT-5,Google + OpenAI + OpenAI,NA,NA
Gemini 2.5 Pro + GPT-5 mini + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,10,0.6,0.041,0.013,0.026,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,GPT-5 mini,LiSA 1.0,Google + OpenAI + AMBOSS,NA,NA
Gemini 2.5 Pro + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,6,0.553,0.025,0.01,0.02,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,Gemini 2.5 Pro,GPT-5,Google + Google + OpenAI,NA,NA
Gemini 2.5 Pro + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,6,0.522,0.035,0.014,0.028,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,Gemini 2.5 Pro,Gemini 2.5 Pro,Google + Google + Google,NA,NA
Llama 4 Maverick + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,4,0.573,0.042,0.021,0.041,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Gemini 2.5 Pro,GPT-5,Meta + Google + OpenAI,NA,NA
Llama 4 Maverick + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,5,0.495,0.011,0.005,0.01,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,Llama 4 Maverick,Llama 4 Maverick,Meta + Meta + Meta,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,10,0.618,0.035,0.011,0.022,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,DeepSeek R1,Meta + Google + DeepSeek,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,10,0.599,0.042,0.013,0.026,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,GPT-5,Meta + Google + OpenAI,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,10,0.618,0.038,0.012,0.023,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,Gemini 2.5 Pro,Meta + Google + Google,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,10,0.66,0.038,0.012,0.023,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,LiSA 1.0,Meta + Google + AMBOSS,NA,NA
Llama 4 Scout + Gemini 2.5 Pro + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,4,0.628,0.051,0.026,0.05,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Gemini 2.5 Pro,Llama 4 Maverick,Meta + Google + Meta,NA,NA
Llama 4 Scout + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,5,0.534,0.03,0.014,0.027,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,GPT-5,Meta + Meta + OpenAI,NA,NA
Llama 4 Scout + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,5,0.615,0.035,0.016,0.031,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,Gemini 2.5 Pro,Meta + Meta + Google,NA,NA
Llama 4 Scout + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,5,0.593,0.016,0.007,0.014,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,Llama 4 Maverick,Meta + Meta + Meta,NA,NA
Llama 4 Scout + Llama 4 Maverick + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,5,0.598,0.019,0.009,0.017,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Maverick,Llama 4 Scout,Meta + Meta + Meta,NA,NA
Llama 4 Scout + Llama 4 Scout + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,5,0.51,0.046,0.021,0.04,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,DeepSeek R1,Meta + Meta + DeepSeek,NA,NA
Llama 4 Scout + Llama 4 Scout + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,5,0.537,0.036,0.016,0.031,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,GPT-5,Meta + Meta + OpenAI,NA,NA
Llama 4 Scout + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,3,0.626,0.058,0.033,0.065,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,Gemini 2.5 Pro,Meta + Meta + Google,NA,NA
Llama 4 Scout + Llama 4 Scout + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,5,0.593,0.014,0.006,0.012,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,Llama 4 Maverick,Meta + Meta + Meta,NA,NA
Llama 4 Scout + Llama 4 Scout + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,All,Completeness,4,0.595,0.021,0.01,0.02,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,Llama 4 Scout,Llama 4 Scout,Meta + Meta + Meta,NA,NA
Claude 3.7 Sonnet,Solo Models,Advisor,All,Completeness,10,0.543,0.018,0.006,0.011,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,NA,NA,Anthropic,NA,NA
Claude Haiku 4.5,Solo Models,Advisor,All,Completeness,20,0.512,0.043,0.01,0.019,NO,AllCases,Unanimous,AllHarm,Claude Haiku 4.5,NA,NA,Anthropic,NA,NA
Claude Sonnet 4.5,Solo Models,Advisor,All,Completeness,20,0.51,0.037,0.008,0.016,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,NA,NA,Anthropic,NA,NA
DeepSeek R1,Solo Models,Advisor,All,Completeness,20,0.573,0.035,0.008,0.015,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,NA,NA,DeepSeek,NA,NA
DeepSeek V3.1,Solo Models,Advisor,All,Completeness,15,0.628,0.046,0.012,0.023,NO,AllCases,Unanimous,AllHarm,DeepSeek V3.1,NA,NA,DeepSeek,NA,NA
GPT-4.1,Solo Models,Advisor,All,Completeness,20,0.618,0.022,0.005,0.01,NO,AllCases,Unanimous,AllHarm,GPT-4.1,NA,NA,OpenAI,NA,NA
GPT-4.1 mini,Solo Models,Advisor,All,Completeness,20,0.458,0.031,0.007,0.013,NO,AllCases,Unanimous,AllHarm,GPT-4.1 mini,NA,NA,OpenAI,NA,NA
GPT-4o,Solo Models,Advisor,All,Completeness,20,0.565,0.093,0.021,0.041,NO,AllCases,Unanimous,AllHarm,GPT-4o,NA,NA,OpenAI,NA,NA
GPT-4o mini,Solo Models,Advisor,All,Completeness,10,0.332,0.026,0.008,0.016,NO,AllCases,Unanimous,AllHarm,GPT-4o mini,NA,NA,OpenAI,NA,NA
GPT-5,Solo Models,Advisor,All,Completeness,20,0.502,0.04,0.009,0.017,NO,AllCases,Unanimous,AllHarm,GPT-5,NA,NA,OpenAI,NA,NA
GPT-5 mini,Solo Models,Advisor,All,Completeness,20,0.505,0.037,0.008,0.016,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,NA,NA,OpenAI,NA,NA
GPT-5 nano,Solo Models,Advisor,All,Completeness,10,0.438,0.031,0.01,0.019,NO,AllCases,Unanimous,AllHarm,GPT-5 nano,NA,NA,OpenAI,NA,NA
Gemini 2.0 Flash,Solo Models,Advisor,All,Completeness,10,0.654,0.016,0.005,0.01,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,NA,NA,Google,NA,NA
Gemini 2.5 Flash,Solo Models,Advisor,All,Completeness,20,0.632,0.028,0.006,0.012,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,NA,NA,Google,NA,NA
Gemini 2.5 Pro,Solo Models,Advisor,All,Completeness,20,0.583,0.061,0.014,0.027,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Pro,NA,NA,Google,NA,NA
Gemini 3 Pro,Solo Models,Advisor,All,Completeness,20,0.435,0.06,0.014,0.026,NO,AllCases,Unanimous,AllHarm,Gemini 3 Pro,NA,NA,Google,NA,NA
Glass Health 4.0,Solo Models,Advisor,All,Completeness,13,0.52,0.05,0.014,0.027,NO,AllCases,Unanimous,AllHarm,Glass Health 4.0,NA,NA,Glass Health,NA,NA
Grok 4,Solo Models,Advisor,All,Completeness,15,0.573,0.063,0.016,0.032,NO,AllCases,Unanimous,AllHarm,Grok 4,NA,NA,xAI,NA,NA
Grok 4 Fast,Solo Models,Advisor,All,Completeness,15,0.554,0.066,0.017,0.033,NO,AllCases,Unanimous,AllHarm,Grok 4 Fast,NA,NA,xAI,NA,NA
Kimi K2,Solo Models,Advisor,All,Completeness,15,0.637,0.05,0.013,0.025,NO,AllCases,Unanimous,AllHarm,Kimi K2,NA,NA,Moonshot AI,NA,NA
LiSA 1.0,Solo Models,Advisor,All,Completeness,20,0.671,0.028,0.006,0.012,NO,AllCases,Unanimous,AllHarm,LiSA 1.0,NA,NA,AMBOSS,NA,NA
Llama 3.3 70b,Solo Models,Advisor,All,Completeness,10,0.56,0.032,0.01,0.02,NO,AllCases,Unanimous,AllHarm,Llama 3.3 70b,NA,NA,Meta,NA,NA
Llama 4 Maverick,Solo Models,Advisor,All,Completeness,20,0.516,0.024,0.005,0.011,NO,AllCases,Unanimous,AllHarm,Llama 4 Maverick,NA,NA,Meta,NA,NA
Llama 4 Scout,Solo Models,Advisor,All,Completeness,20,0.579,0.017,0.004,0.007,NO,AllCases,Unanimous,AllHarm,Llama 4 Scout,NA,NA,Meta,NA,NA
Mistral Large 2.1,Solo Models,Advisor,All,Completeness,15,0.498,0.071,0.018,0.036,NO,AllCases,Unanimous,AllHarm,Mistral Large 2.1,NA,NA,Mistral AI,NA,NA
Mistral Medium 3.1,Solo Models,Advisor,All,Completeness,15,0.474,0.057,0.015,0.029,NO,AllCases,Unanimous,AllHarm,Mistral Medium 3.1,NA,NA,Mistral AI,NA,NA
Qwen3 235B,Solo Models,Advisor,All,Completeness,5,0.549,0.049,0.022,0.043,NO,AllCases,Unanimous,AllHarm,Qwen3 235B,NA,NA,Alibaba,NA,NA
Qwen3 32B,Solo Models,Advisor,All,Completeness,13,0.483,0.034,0.009,0.018,NO,AllCases,Unanimous,AllHarm,Qwen3 32B,NA,NA,Alibaba,NA,NA
o1,Solo Models,Advisor,All,Completeness,10,0.441,0.037,0.012,0.023,NO,AllCases,Unanimous,AllHarm,o1,NA,NA,OpenAI,NA,NA
o1 mini,Solo Models,Advisor,All,Completeness,10,0.487,0.045,0.014,0.028,NO,AllCases,Unanimous,AllHarm,o1 mini,NA,NA,OpenAI,NA,NA
o3 mini,Solo Models,Advisor,All,Completeness,20,0.282,0.029,0.007,0.013,NO,AllCases,Unanimous,AllHarm,o3 mini,NA,NA,OpenAI,NA,NA
o4 mini,Solo Models,Advisor,All,Completeness,10,0.355,0.028,0.009,0.018,NO,AllCases,Unanimous,AllHarm,o4 mini,NA,NA,OpenAI,NA,NA
Claude 3.7 Sonnet + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.766,0.009,0.005,0.01,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Claude 3.7 Sonnet,NA,Anthropic + Anthropic,NA,NA
Claude 3.7 Sonnet + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.723,0.035,0.02,0.04,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,DeepSeek R1,NA,Anthropic + DeepSeek,NA,NA
Claude 3.7 Sonnet + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.756,0.009,0.005,0.01,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-4.1,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + GPT-5,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.692,0.038,0.022,0.043,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-5,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.627,0.015,0.009,0.017,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-5 mini,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.662,0.023,0.013,0.026,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Gemini 2.0 Flash,NA,Anthropic + Google,NA,NA
Claude 3.7 Sonnet + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.754,0.033,0.019,0.037,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Gemini 2.5 Pro,NA,Anthropic + Google,NA,NA
Claude 3.7 Sonnet + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.647,0.009,0.005,0.01,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Llama 4 Maverick,NA,Anthropic + Meta,NA,NA
Claude 3.7 Sonnet + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.652,0.017,0.01,0.02,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Llama 4 Scout,NA,Anthropic + Meta,NA,NA
Claude 3.7 Sonnet + o3 mini,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.647,0.009,0.005,0.01,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,o3 mini,NA,Anthropic + OpenAI,NA,NA
Claude Sonnet 4.5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Escalation,5,0.688,0.036,0.016,0.031,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,Gemini 2.5 Pro,NA,Anthropic + Google,NA,NA
Claude Sonnet 4.5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,Escalation,10,0.684,0.03,0.009,0.018,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,LiSA 1.0,NA,Anthropic + AMBOSS,NA,NA
DeepSeek R1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,Escalation,5,0.782,0.026,0.011,0.022,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Claude 3.7 Sonnet,NA,DeepSeek + Anthropic,NA,NA
DeepSeek R1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,Escalation,8,0.743,0.024,0.008,0.017,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,DeepSeek R1,NA,DeepSeek + DeepSeek,NA,NA
DeepSeek R1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.657,0.015,0.009,0.017,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,GPT-5 mini,NA,DeepSeek + OpenAI,NA,NA
DeepSeek R1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Escalation,8,0.752,0.025,0.009,0.018,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.0 Flash,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,All,Escalation,10,0.783,0.02,0.006,0.012,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Flash,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Escalation,10,0.774,0.03,0.009,0.018,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Pro,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,Escalation,10,0.782,0.029,0.009,0.018,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,LiSA 1.0,NA,DeepSeek + AMBOSS,NA,NA
DeepSeek R1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,Escalation,10,0.75,0.025,0.008,0.015,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Llama 4 Maverick,NA,DeepSeek + Meta,NA,NA
DeepSeek R1 + o3 mini,2-Agent Teams,Advisor + Guardian,All,Escalation,10,0.734,0.019,0.006,0.012,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,o3 mini,NA,DeepSeek + OpenAI,NA,NA
GPT-4.1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.746,0.015,0.009,0.017,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Claude 3.7 Sonnet,NA,OpenAI + Anthropic,NA,NA
GPT-4.1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.821,0.026,0.015,0.029,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
GPT-4.1 + GPT-5,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.667,0.031,0.018,0.035,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-5,NA,OpenAI + OpenAI,NA,NA
GPT-4.1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.652,0.009,0.005,0.01,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
GPT-4.1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.736,0.017,0.01,0.02,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
GPT-4.1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.776,0.039,0.023,0.045,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Gemini 2.5 Pro,NA,OpenAI + Google,NA,NA
GPT-4.1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.716,0.015,0.009,0.017,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Llama 4 Maverick,NA,OpenAI + Meta,NA,NA
GPT-4.1 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.716,0.015,0.009,0.017,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Llama 4 Scout,NA,OpenAI + Meta,NA,NA
GPT-4.1 + o3 mini,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.701,0.015,0.009,0.017,NO,AllCases,Unanimous,AllHarm,GPT-4.1,o3 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.657,0.03,0.017,0.034,NO,AllCases,Unanimous,AllHarm,GPT-5,DeepSeek R1,NA,OpenAI + DeepSeek,NA,NA
GPT-5 + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.771,0.048,0.028,0.054,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
GPT-5 + GPT-5,2-Agent Teams,Advisor + Guardian,All,Escalation,8,0.655,0.027,0.01,0.019,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-5,NA,OpenAI + OpenAI,NA,NA
GPT-5 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.597,0.03,0.017,0.034,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.637,0.034,0.02,0.039,NO,AllCases,Unanimous,AllHarm,GPT-5,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
GPT-5 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.692,0.009,0.005,0.01,NO,AllCases,Unanimous,AllHarm,GPT-5,Gemini 2.5 Flash,NA,OpenAI + Google,NA,NA
GPT-5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.667,0.048,0.028,0.054,NO,AllCases,Unanimous,AllHarm,GPT-5,Gemini 2.5 Pro,NA,OpenAI + Google,NA,NA
GPT-5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,Escalation,10,0.669,0.028,0.009,0.017,NO,AllCases,Unanimous,AllHarm,GPT-5,LiSA 1.0,NA,OpenAI + AMBOSS,NA,NA
GPT-5 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.632,0.017,0.01,0.02,NO,AllCases,Unanimous,AllHarm,GPT-5,Llama 4 Maverick,NA,OpenAI + Meta,NA,NA
GPT-5 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.647,0.031,0.018,0.035,NO,AllCases,Unanimous,AllHarm,GPT-5,Llama 4 Scout,NA,OpenAI + Meta,NA,NA
GPT-5 + o3 mini,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.622,0.023,0.013,0.026,NO,AllCases,Unanimous,AllHarm,GPT-5,o3 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,Escalation,5,0.749,0.022,0.01,0.019,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + GPT-5,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.607,0.009,0.005,0.01,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,GPT-5,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.542,0.023,0.013,0.026,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Escalation,3,0.597,0.065,0.038,0.074,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
